"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f066bfd2d4dcc2dcb05f868109d902c5","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","midas_s_5160"
"0e27b5dabaffd28b9e4a5043d61d3b5c","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","midas_s_59827"
"cc0af39369f1b202781bc1d29ea57277","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_21554"
"eff76994c1677877026893d1f8ae826e","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_562","midas_s_7347"
"bd98f7533cdb25b4c207560a54e728e5","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_3413"
"675dd6cb0f310c583db0b1c7d38ec038","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_34773"
"5b68d268132d76ac949d94bd2274ec1d","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"8312fea9045c83ba50770e675c5ba2b9","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","midas_s_7864"
"6291d6ddf701717cb4dadaf9fe7f3ad3","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_55095","midas_s_55095"
"ef34fa2885c8d13a48ca9a548c96c75e","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_60760","midas_s_60760"
"73de04e3d5d78184ebaac3b0724a5ccb","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_60760","midas_s_60760"
"042dde151c83af5396d5bef432086601","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_22002","midas_s_22002"
"e994ddc1d6593aca08dab2dcff99c9c5","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_22002","midas_s_29114"
"068063b2ab823a71f714bd4356526422","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_22002",NA
"84ebd4aa55a45ae5a827de9f94db34bc","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_22002","midas_s_22002"
"5d5fcdcc92907963e9b39cb52effab8d","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_22002","midas_s_22002"
